[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.004s][info][gc       ] Using Serial
[1.624s][info][metaspace] Reserving compressed class space anywhere
[1.624s][info][gc,metaspace] CDS archive(s) not mapped
[1.624s][info][gc,metaspace] Compressed class space mapped at: 0x00007fff18000000-0x00007fffd8000000, reserved size: 3221225472
[1.624s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 0narrow klass pointer bits 26, max shift 6
[1.624s][info][gc,metaspace] Narrow klass base: 0x00007fff18000000, Narrow klass shift: 6, Narrow klass range: 0xc0000000
Num Classes: 1024
Num Objects per Class: 65536
Cycles: 100
Class association: random
Generate 1024 classes...[3.715s][info][gc,metaspace] GC(0) Metaspace: 22948K(23296K)->22948K(23296K) NonClass: 20542K(20736K)->20542K(20736K) Class: 2405K(2560K)->2405K(2560K)
[3.715s][info][gc          ] GC(0) Pause Young (Allocation Failure) 1638M->4M(5939M) 16.465ms
[5.082s][info][gc,metaspace] GC(1) Metaspace: 23720K(24064K)->23720K(24064K) NonClass: 21313K(21504K)->21313K(21504K) Class: 2406K(2560K)->2406K(2560K)
[5.082s][info][gc          ] GC(1) Pause Young (Allocation Failure) 1642M->4M(5939M) 14.300ms

Loading 1024...[5.806s][info][gc,metaspace] GC(2) Metaspace: 24817K(25152K)->24817K(25152K) NonClass: 21825K(22016K)->21825K(22016K) Class: 2991K(3136K)->2991K(3136K)
[5.806s][info][gc          ] GC(2) Pause Full (System.gc()) 678M->4M(5939M) 182.318ms
Creating 65536 objects per class...
Done; will start GCs... 
[14.992s][info][gc,metaspace] GC(3) Metaspace: 28540K(29760K)->28540K(29760K) NonClass: 25028K(25600K)->25028K(25600K) Class: 3511K(4160K)->3511K(4160K)
[14.992s][info][gc          ] GC(3) Pause Full (System.gc()) 840M->772M(5939M) 3345.496ms
[17.001s][info][gc,metaspace] GC(4) Metaspace: 28540K(29760K)->28540K(29760K) NonClass: 25028K(25600K)->25028K(25600K) Class: 3511K(4160K)->3511K(4160K)
[17.001s][info][gc          ] GC(4) Pause Full (System.gc()) 772M->772M(5939M) 2008.647ms
[20.100s][info][gc,metaspace] GC(5) Metaspace: 28540K(29760K)->28540K(29760K) NonClass: 25028K(25600K)->25028K(25600K) Class: 3511K(4160K)->3511K(4160K)
[20.100s][info][gc          ] GC(5) Pause Full (System.gc()) 772M->772M(5939M) 3098.794ms
[22.602s][info][gc,metaspace] GC(6) Metaspace: 28540K(29760K)->28540K(29760K) NonClass: 25028K(25600K)->25028K(25600K) Class: 3511K(4160K)->3511K(4160K)
[22.602s][info][gc          ] GC(6) Pause Full (System.gc()) 772M->772M(5939M) 2500.867ms
[24.608s][info][gc,metaspace] GC(7) Metaspace: 28540K(29760K)->28540K(29760K) NonClass: 25028K(25600K)->25028K(25600K) Class: 3511K(4160K)->3511K(4160K)
[24.608s][info][gc          ] GC(7) Pause Full (System.gc()) 772M->772M(5939M) 2002.454ms
[26.619s][info][gc,metaspace] GC(8) Metaspace: 28540K(29760K)->28540K(29760K) NonClass: 25028K(25600K)->25028K(25600K) Class: 3511K(4160K)->3511K(4160K)
[26.619s][info][gc          ] GC(8) Pause Full (System.gc()) 772M->772M(5939M) 2010.083ms
[28.625s][info][gc,metaspace] GC(9) Metaspace: 28540K(29760K)->28540K(29760K) NonClass: 25028K(25600K)->25028K(25600K) Class: 3511K(4160K)->3511K(4160K)
[28.625s][info][gc          ] GC(9) Pause Full (System.gc()) 772M->772M(5939M) 2006.243ms
[31.030s][info][gc,metaspace] GC(10) Metaspace: 28540K(29760K)->28540K(29760K) NonClass: 25028K(25600K)->25028K(25600K) Class: 3511K(4160K)->3511K(4160K)
[31.030s][info][gc          ] GC(10) Pause Full (System.gc()) 772M->772M(5939M) 2404.822ms
[33.036s][info][gc,metaspace] GC(11) Metaspace: 28540K(29760K)->28540K(29760K) NonClass: 25028K(25600K)->25028K(25600K) Class: 3511K(4160K)->3511K(4160K)
[33.036s][info][gc          ] GC(11) Pause Full (System.gc()) 772M->772M(5939M) 2005.454ms
[35.044s][info][gc,metaspace] GC(12) Metaspace: 28540K(29760K)->28540K(29760K) NonClass: 25028K(25600K)->25028K(25600K) Class: 3511K(4160K)->3511K(4160K)
[35.044s][info][gc          ] GC(12) Pause Full (System.gc()) 772M->772M(5939M) 2008.237ms
[37.049s][info][gc,metaspace] GC(13) Metaspace: 28540K(29760K)->28540K(29760K) NonClass: 25028K(25600K)->25028K(25600K) Class: 3511K(4160K)->3511K(4160K)
[37.049s][info][gc          ] GC(13) Pause Full (System.gc()) 772M->772M(5939M) 2005.174ms
