[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using Serial
[1.856s][info][metaspace] Reserving compressed class space anywhere
[1.856s][info][gc,metaspace] CDS archive(s) not mapped
[1.856s][info][gc,metaspace] Compressed class space mapped at: 0x00007fff18000000-0x00007fffd8000000, reserved size: 3221225472
[1.856s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 0narrow klass pointer bits 22, max shift 10
[1.856s][info][gc,metaspace] Narrow klass base: 0x00007fff18000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 2048
Num Objects per Class: 32768
Cycles: 100
Class association: random
Generate 2048 classes...[3.970s][info][gc,metaspace] GC(0) Metaspace: 22953K(23296K)->22953K(23296K) NonClass: 19135K(19328K)->19135K(19328K) Class: 3818K(3968K)->3818K(3968K)
[3.970s][info][gc          ] GC(0) Pause Young (Allocation Failure) 1638M->4M(5939M) 12.542ms
[5.285s][info][gc,metaspace] GC(1) Metaspace: 23730K(24128K)->23730K(24128K) NonClass: 19910K(20096K)->19910K(20096K) Class: 3820K(4032K)->3820K(4032K)
[5.285s][info][gc          ] GC(1) Pause Young (Allocation Failure) 1642M->4M(5939M) 14.411ms
[6.515s][info][gc,metaspace] GC(2) Metaspace: 23782K(24192K)->23782K(24192K) NonClass: 19962K(20160K)->19962K(20160K) Class: 3820K(4032K)->3820K(4032K)
[6.515s][info][gc          ] GC(2) Pause Young (Allocation Failure) 1643M->5M(5939M) 15.310ms
[7.816s][info][gc,metaspace] GC(3) Metaspace: 23866K(24256K)->23866K(24256K) NonClass: 20046K(20224K)->20046K(20224K) Class: 3820K(4032K)->3820K(4032K)
[7.817s][info][gc          ] GC(3) Pause Young (Allocation Failure) 1643M->5M(5939M) 16.390ms

Loading 2048...[8.986s][info][gc,metaspace] GC(4) Metaspace: 27022K(27392K)->27022K(27392K) NonClass: 21154K(21312K)->21154K(21312K) Class: 5868K(6080K)->5868K(6080K)
[8.986s][info][gc          ] GC(4) Pause Full (System.gc()) 1162M->5M(5939M) 308.402ms
Creating 32768 objects per class...
Done; will start GCs... 
[22.283s][info][gc,metaspace] GC(5) Metaspace: 33664K(35840K)->33664K(35840K) NonClass: 26756K(27712K)->26756K(27712K) Class: 6908K(8128K)->6908K(8128K)
[22.283s][info][gc          ] GC(5) Pause Full (System.gc()) 823M->774M(5939M) 4717.437ms
[25.853s][info][gc,metaspace] GC(6) Metaspace: 33664K(35840K)->33664K(35840K) NonClass: 26756K(27712K)->26756K(27712K) Class: 6908K(8128K)->6908K(8128K)
[25.853s][info][gc          ] GC(6) Pause Full (System.gc()) 774M->774M(5939M) 3570.114ms
[29.919s][info][gc,metaspace] GC(7) Metaspace: 33664K(35840K)->33664K(35840K) NonClass: 26756K(27712K)->26756K(27712K) Class: 6908K(8128K)->6908K(8128K)
[29.919s][info][gc          ] GC(7) Pause Full (System.gc()) 774M->774M(5939M) 4065.130ms
[32.927s][info][gc,metaspace] GC(8) Metaspace: 33664K(35840K)->33664K(35840K) NonClass: 26756K(27712K)->26756K(27712K) Class: 6908K(8128K)->6908K(8128K)
[32.927s][info][gc          ] GC(8) Pause Full (System.gc()) 774M->774M(5939M) 3007.595ms
[35.938s][info][gc,metaspace] GC(9) Metaspace: 33664K(35840K)->33664K(35840K) NonClass: 26756K(27712K)->26756K(27712K) Class: 6908K(8128K)->6908K(8128K)
[35.938s][info][gc          ] GC(9) Pause Full (System.gc()) 774M->774M(5939M) 3011.160ms
[38.946s][info][gc,metaspace] GC(10) Metaspace: 33664K(35840K)->33664K(35840K) NonClass: 26756K(27712K)->26756K(27712K) Class: 6908K(8128K)->6908K(8128K)
[38.946s][info][gc          ] GC(10) Pause Full (System.gc()) 774M->774M(5939M) 3007.829ms
[41.953s][info][gc,metaspace] GC(11) Metaspace: 33665K(35840K)->33665K(35840K) NonClass: 26757K(27712K)->26757K(27712K) Class: 6908K(8128K)->6908K(8128K)
[41.953s][info][gc          ] GC(11) Pause Full (System.gc()) 774M->774M(5939M) 3006.654ms
[44.960s][info][gc,metaspace] GC(12) Metaspace: 33665K(35840K)->33665K(35840K) NonClass: 26757K(27712K)->26757K(27712K) Class: 6908K(8128K)->6908K(8128K)
[44.960s][info][gc          ] GC(12) Pause Full (System.gc()) 774M->774M(5939M) 3006.986ms
[47.968s][info][gc,metaspace] GC(13) Metaspace: 33665K(35840K)->33665K(35840K) NonClass: 26757K(27712K)->26757K(27712K) Class: 6908K(8128K)->6908K(8128K)
[47.968s][info][gc          ] GC(13) Pause Full (System.gc()) 774M->774M(5939M) 3007.271ms
[50.974s][info][gc,metaspace] GC(14) Metaspace: 33665K(35840K)->33665K(35840K) NonClass: 26757K(27712K)->26757K(27712K) Class: 6908K(8128K)->6908K(8128K)
[50.974s][info][gc          ] GC(14) Pause Full (System.gc()) 774M->774M(5939M) 3006.195ms
[53.981s][info][gc,metaspace] GC(15) Metaspace: 33665K(35840K)->33665K(35840K) NonClass: 26757K(27712K)->26757K(27712K) Class: 6908K(8128K)->6908K(8128K)
[53.981s][info][gc          ] GC(15) Pause Full (System.gc()) 774M->774M(5939M) 3006.715ms
[56.992s][info][gc,metaspace] GC(16) Metaspace: 33665K(35840K)->33665K(35840K) NonClass: 26757K(27712K)->26757K(27712K) Class: 6908K(8128K)->6908K(8128K)
[56.992s][info][gc          ] GC(16) Pause Full (System.gc()) 774M->774M(5939M) 3010.826ms
[59.999s][info][gc,metaspace] GC(17) Metaspace: 33665K(35840K)->33665K(35840K) NonClass: 26757K(27712K)->26757K(27712K) Class: 6908K(8128K)->6908K(8128K)
[59.999s][info][gc          ] GC(17) Pause Full (System.gc()) 774M->774M(5939M) 3006.950ms
[63.006s][info][gc,metaspace] GC(18) Metaspace: 33665K(35840K)->33665K(35840K) NonClass: 26757K(27712K)->26757K(27712K) Class: 6908K(8128K)->6908K(8128K)
[63.006s][info][gc          ] GC(18) Pause Full (System.gc()) 774M->774M(5939M) 3006.177ms
[66.012s][info][gc,metaspace] GC(19) Metaspace: 33665K(35840K)->33665K(35840K) NonClass: 26757K(27712K)->26757K(27712K) Class: 6908K(8128K)->6908K(8128K)
[66.012s][info][gc          ] GC(19) Pause Full (System.gc()) 774M->774M(5939M) 3006.400ms
[69.980s][info][gc,metaspace] GC(20) Metaspace: 33665K(35840K)->33665K(35840K) NonClass: 26757K(27712K)->26757K(27712K) Class: 6908K(8128K)->6908K(8128K)
[69.980s][info][gc          ] GC(20) Pause Full (System.gc()) 785M->774M(5939M) 3967.014ms
[73.289s][info][gc,metaspace] GC(21) Metaspace: 33665K(35840K)->33665K(35840K) NonClass: 26757K(27712K)->26757K(27712K) Class: 6908K(8128K)->6908K(8128K)
[73.289s][info][gc          ] GC(21) Pause Full (System.gc()) 774M->774M(5939M) 3308.721ms
[76.597s][info][gc,metaspace] GC(22) Metaspace: 33665K(35840K)->33665K(35840K) NonClass: 26757K(27712K)->26757K(27712K) Class: 6908K(8128K)->6908K(8128K)
[76.597s][info][gc          ] GC(22) Pause Full (System.gc()) 774M->774M(5939M) 3308.572ms
[81.141s][info][gc,metaspace] GC(23) Metaspace: 33665K(35840K)->33665K(35840K) NonClass: 26757K(27712K)->26757K(27712K) Class: 6908K(8128K)->6908K(8128K)
[81.142s][info][gc          ] GC(23) Pause Full (System.gc()) 774M->774M(5939M) 4543.956ms
[84.449s][info][gc,metaspace] GC(24) Metaspace: 33665K(35840K)->33665K(35840K) NonClass: 26757K(27712K)->26757K(27712K) Class: 6908K(8128K)->6908K(8128K)
