Request Mix Accuracy
===================================
Domain Marker;max-jOPS;12868.0
Domain Marker;critical-jOPS;5740.0
Domain Marker;Validation Start jOPS;1383.7
Range Marker;Main Tx Limit;-5.0
Range Marker;Main Tx Limit;5.0
Range Marker;Minor Tx Limit;-1.0
Range Marker;Minor Tx Limit;1.0
jOPS;In-store Purchase [50%];Online Purchase [35%];Installment Purchase [10%];Associativity of Category [0.1%];Associativity of Product [1%];Business Report [0.25%];Customer Buying Behavior [1%];Product Return [2.65%]
138.0;0.0;-0.016900048285855007;-0.004828585224530002;0.008643167551907277;0.026074360212457792;0.015572187349106703;0.014002897151134786;-0.042563978754224685
277.0;-0.05102347079656511;0.04412029533585837;0.006603037397201916;0.002046941593132831;-0.0035416291494086982;-0.003886787922444346;-0.0035416291494086982;0.009223242691638323
415.0;0.004013485310636611;0.0016053941242546443;0.02167282067747678;-0.003676352544549691;-0.020709584202921794;-0.00919088136137422;0.003371327660940615;0.002913790335527633
553.0;0.006025185274452838;-0.0027113333735044876;0.004820148219558007;-0.003597035608844973;-0.01186961499066097;0.003057781526781933;1.8075555823338085E-4;0.004094113393986909
692.0;0.03251366778256681;-0.02492714529996931;-2.4084198357421371E-4;-0.0012547867344235436;0.009127911177476467;4.7566291755979373E-4;-0.005322607836998228;-0.010371860022639012
830.0;0.04316835659070506;-0.04567814476457954;0.00903523742596235;3.915269551249684E-4;0.003915269551249878;-0.0010290131512900313;-0.004116052605160125;-0.005687180002007963
969.0;-0.0034359538207766605;0.022677295217150117;-0.018554150632215993;-0.0020753161077515236;-0.005291368884002168;-8.933479934029598E-4;0.0015805387575591467;0.005992303463441484
1107.0;0.018801233360910885;-0.016169060690380377;7.52049334437288E-4;-7.294878544032574E-4;-0.001278483868541791;0.0041926750394826184;-0.005790779875159857;2.2185455365875129E-4
1245.0;-0.024742874720807606;0.034573151974754524;0.004146103331594375;0.0029838569460605285;0.0017520630207705779;-0.002571252791932488;0.004426968395992992;-0.020568016156428115
1384.0;-0.026486876956418826;0.037322417529495056;-0.013243438478209413;0.001131712015410541;0.0016855285335901637;-0.004394413676860082;0.004093426438719128;-1.0835540573062019E-4
1522.0;-0.00710623271272226;0.018421541724521262;-0.006450272770010201;-5.127420218872109E-4;-0.005127420218871914;0.002544577944440185;-0.0018476205053078454;7.816855984010829E-5
1660.0;-0.009020024454287068;0.013730481669306016;-0.0018040048908574136;2.224939365391143E-4;-0.002786185331435709;0.0025606847200785876;-7.817354527049902E-4;-0.0021217101966364282
1799.0;-0.011568396990362828;0.018000425717012547;-0.013234246156978102;-0.0018999935216976876;0.003211387004525612;8.02846751131403E-4;0.003211387004525612;0.0014765901918503133
1937.0;0.012896791278329545;-0.015304192316953902;-0.0024074010386208045;5.949719709736068E-4;-6.878288681777533E-5;0.0010575368848230737;-9.28568972039856E-4;0.004159645080304308
2076.0;-0.02125492272030982;0.005654611516156649;0.0018447668776122583;0.001061141990904499;-6.175958677221427E-4;2.466373108111486E-4;0.004996912020661437;0.008068448871885181
2214.0;-0.025905763093675205;0.022339027595265293;0.005631687629060522;-1.314060446780535E-4;-0.003566735498404361;-0.0014548526375070259;-0.004317627182278905;0.00740566923221353
2352.0;-0.029303977573633233;0.008014461336401268;0.014193010824818941;2.690316977241869E-4;-8.402827304244687E-4;-0.0014457805802893797;0.0012780770941751562;0.007835459931224253
2491.0;-0.008339949693422;-0.004903890419733159;-0.0014011115484962033;0.0014137882720291345;0.002128355161761686;-0.0018030971237181503;-0.001207624715607647;0.01411353006718663
2629.0;0.023126587972910784;-0.006621173816903081;-0.009947600854099292;7.432188408827284E-4;-0.002071888840312508;9.076393772928792E-4;-0.005239914590025818;-8.968680897436521E-4
2767.0;-0.015920218677720754;0.009462016761290215;-3.003814844859676E-4;3.2741581808896913E-4;2.7034333603692673E-4;-6.833678772040497E-4;0.0014718692739779105;0.00537232285001954
2906.0;-0.004872595947148284;0.0018630513915596225;0.008885322021267683;3.181518530195604E-4;-0.001404454125942145;-6.44902404769443E-5;-0.003124193871993919;-0.0016007910802828818
3044.0;-0.03745113583553916;0.022005959377814577;0.014488395615209981;-0.0010415242885651044;5.193953145075092E-4;4.032147836308675E-4;5.193953145075092E-4;5.562997184331842E-4
3183.0;0.021197418625462205;-0.03577391513704953;0.010415521744365108;-5.553200286819437E-4;0.0038678746578317824;0.0012286651906982526;0.001250909395428712;-0.0016311544480558382
3321.0;-0.024484085344525397;0.01324139309448924;0.005996102533352143;4.3471743366811644E-4;-0.005146654674461626;-6.620696547244564E-4;0.0038474991255683655;0.0067730974866337945
3459.0;-0.02936504115919547;0.03393828527415366;4.813941173633651E-4;1.299764116882568E-4;8.183699995185645E-4;-0.0011192413228710563;-0.004476965291484225;-4.067780291725498E-4
3598.0;-0.005089152702339561;0.005042887677774388;-0.0021281911300690126;0.0013204038011344205;-0.0016007698500087875;-0.0015568180766704076;2.4983113266041634E-4;0.0037618091475208892
