[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.003s][info][gc       ] Using Parallel
[0.373s][info][metaspace] Reserving compressed class space anywhere
[0.373s][info][gc,metaspace] CDS archive(s) not mapped
[0.373s][info][gc,metaspace] Compressed class space mapped at: 0x00007ffee7000000-0x00007fffa7000000, reserved size: 3221225472
[0.373s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 0narrow klass pointer bits 26, max shift 6
[0.373s][info][gc,metaspace] Narrow klass base: 0x00007ffee7000000, Narrow klass shift: 6, Narrow klass range: 0xc0000000
Num Classes: 512
Num Objects per Class: 131072
Cycles: 100
Class association: random
Generate 512 classes...[2.433s][info][gc,metaspace] GC(0) Metaspace: 22878K(23232K)->22878K(23232K) NonClass: 20472K(20672K)->20472K(20672K) Class: 2405K(2560K)->2405K(2560K)
[2.433s][info][gc          ] GC(0) Pause Young (Allocation Failure) 1536M->3M(5888M) 5.553ms

Loading 512...[2.868s][info][gc,metaspace] GC(1) Metaspace: 24185K(24576K)->24185K(24576K) NonClass: 21486K(21696K)->21486K(21696K) Class: 2699K(2880K)->2699K(2880K)
[2.868s][info][gc          ] GC(1) Pause Young (System.gc()) 575M->3M(5888M) 5.342ms
[2.883s][info][gc,metaspace] GC(2) Metaspace: 24185K(24576K)->24185K(24576K) NonClass: 21486K(21696K)->21486K(21696K) Class: 2699K(2880K)->2699K(2880K)
[2.883s][info][gc          ] GC(2) Pause Full (System.gc()) 3M->3M(5888M) 15.670ms
Creating 131072 objects per class...
Done; will start GCs... 
[9.488s][info][gc,metaspace] GC(3) Metaspace: 26090K(26880K)->26090K(26880K) NonClass: 23131K(23488K)->23131K(23488K) Class: 2959K(3392K)->2959K(3392K)
[9.488s][info][gc          ] GC(3) Pause Young (System.gc()) 800M->772M(5888M) 2328.232ms
[11.636s][info][gc,metaspace] GC(4) Metaspace: 26090K(26880K)->26090K(26880K) NonClass: 23131K(23488K)->23131K(23488K) Class: 2959K(3392K)->2959K(3392K)
[11.636s][info][gc          ] GC(4) Pause Full (System.gc()) 772M->771M(5888M) 2148.168ms
[11.637s][info][gc,metaspace] GC(5) Metaspace: 26090K(26880K)->26090K(26880K) NonClass: 23131K(23488K)->23131K(23488K) Class: 2959K(3392K)->2959K(3392K)
[11.637s][info][gc          ] GC(5) Pause Young (System.gc()) 771M->771M(5888M) 0.627ms
[12.317s][info][gc,metaspace] GC(6) Metaspace: 26090K(26880K)->26090K(26880K) NonClass: 23131K(23488K)->23131K(23488K) Class: 2959K(3392K)->2959K(3392K)
[12.317s][info][gc          ] GC(6) Pause Full (System.gc()) 771M->771M(5888M) 680.437ms
[12.318s][info][gc,metaspace] GC(7) Metaspace: 26090K(26880K)->26090K(26880K) NonClass: 23131K(23488K)->23131K(23488K) Class: 2959K(3392K)->2959K(3392K)
[12.318s][info][gc          ] GC(7) Pause Young (System.gc()) 771M->771M(5888M) 0.469ms
[12.991s][info][gc,metaspace] GC(8) Metaspace: 26090K(26880K)->26090K(26880K) NonClass: 23131K(23488K)->23131K(23488K) Class: 2959K(3392K)->2959K(3392K)
[12.991s][info][gc          ] GC(8) Pause Full (System.gc()) 771M->771M(5888M) 672.965ms
[12.991s][info][gc,metaspace] GC(9) Metaspace: 26090K(26880K)->26090K(26880K) NonClass: 23131K(23488K)->23131K(23488K) Class: 2959K(3392K)->2959K(3392K)
[12.991s][info][gc          ] GC(9) Pause Young (System.gc()) 771M->771M(5888M) 0.501ms
[13.639s][info][gc,metaspace] GC(10) Metaspace: 26090K(26880K)->26090K(26880K) NonClass: 23131K(23488K)->23131K(23488K) Class: 2959K(3392K)->2959K(3392K)
[13.639s][info][gc          ] GC(10) Pause Full (System.gc()) 771M->771M(5888M) 647.915ms
[13.640s][info][gc,metaspace] GC(11) Metaspace: 26090K(26880K)->26090K(26880K) NonClass: 23131K(23488K)->23131K(23488K) Class: 2959K(3392K)->2959K(3392K)
[13.640s][info][gc          ] GC(11) Pause Young (System.gc()) 771M->771M(5888M) 0.441ms
[14.286s][info][gc,metaspace] GC(12) Metaspace: 26090K(26880K)->26090K(26880K) NonClass: 23131K(23488K)->23131K(23488K) Class: 2959K(3392K)->2959K(3392K)
[14.286s][info][gc          ] GC(12) Pause Full (System.gc()) 771M->771M(5888M) 646.098ms
[14.287s][info][gc,metaspace] GC(13) Metaspace: 26090K(26880K)->26090K(26880K) NonClass: 23131K(23488K)->23131K(23488K) Class: 2959K(3392K)->2959K(3392K)
[14.287s][info][gc          ] GC(13) Pause Young (System.gc()) 771M->771M(5888M) 0.463ms
[14.952s][info][gc,metaspace] GC(14) Metaspace: 26090K(26880K)->26090K(26880K) NonClass: 23131K(23488K)->23131K(23488K) Class: 2959K(3392K)->2959K(3392K)
[14.952s][info][gc          ] GC(14) Pause Full (System.gc()) 771M->771M(5888M) 665.351ms
[14.953s][info][gc,metaspace] GC(15) Metaspace: 26090K(26880K)->26090K(26880K) NonClass: 23131K(23488K)->23131K(23488K) Class: 2959K(3392K)->2959K(3392K)
[14.953s][info][gc          ] GC(15) Pause Young (System.gc()) 771M->771M(5888M) 0.460ms
[15.603s][info][gc,metaspace] GC(16) Metaspace: 26090K(26880K)->26090K(26880K) NonClass: 23131K(23488K)->23131K(23488K) Class: 2959K(3392K)->2959K(3392K)
[15.603s][info][gc          ] GC(16) Pause Full (System.gc()) 771M->771M(5888M) 650.520ms
