[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using G1
[0.443s][info][metaspace] Reserving compressed class space anywhere
[0.443s][info][gc,metaspace] CDS archive(s) not mapped
[0.444s][info][gc,metaspace] Compressed class space mapped at: 0x00007ffedb000000-0x00007fff9b000000, reserved size: 3221225472
[0.444s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 0narrow klass pointer bits 26, max shift 6
[0.444s][info][gc,metaspace] Narrow klass base: 0x00007ffedb000000, Narrow klass shift: 6, Narrow klass range: 0xc0000000
Num Classes: 1024
Num Objects per Class: 65536
Cycles: 100
Class association: random
Generate 1024 classes...[1.470s][info][gc,metaspace] GC(0) Metaspace: 22094K(22464K)->22094K(22464K) NonClass: 19688K(19904K)->19688K(19904K) Class: 2406K(2560K)->2406K(2560K)
[1.470s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 304M->3M(6144M) 4.608ms
[1.861s][info][gc,metaspace] GC(1) Metaspace: 22388K(22784K)->22388K(22784K) NonClass: 19982K(20224K)->19982K(20224K) Class: 2406K(2560K)->2406K(2560K)
[1.861s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 323M->4M(6144M) 4.084ms

Loading 1024...[4.880s][info][gc,metaspace] GC(2) Metaspace: 24826K(25152K)->24826K(25152K) NonClass: 21833K(22016K)->21833K(22016K) Class: 2993K(3136K)->2993K(3136K)
[4.880s][info][gc          ] GC(2) Pause Full (System.gc()) 3228M->4M(6144M) 20.476ms
Creating 65536 objects per class...
Done; will start GCs... 
[11.297s][info][gc,metaspace] GC(3) Metaspace: 28555K(29760K)->28555K(29760K) NonClass: 25042K(25600K)->25042K(25600K) Class: 3513K(4160K)->3513K(4160K)
[11.297s][info][gc          ] GC(3) Pause Full (System.gc()) 796M->776M(6144M) 426.635ms
[11.685s][info][gc,metaspace] GC(4) Metaspace: 28555K(29760K)->28555K(29760K) NonClass: 25042K(25600K)->25042K(25600K) Class: 3513K(4160K)->3513K(4160K)
[11.685s][info][gc          ] GC(4) Pause Full (System.gc()) 776M->776M(6144M) 387.826ms
[12.058s][info][gc,metaspace] GC(5) Metaspace: 28555K(29760K)->28555K(29760K) NonClass: 25042K(25600K)->25042K(25600K) Class: 3513K(4160K)->3513K(4160K)
[12.058s][info][gc          ] GC(5) Pause Full (System.gc()) 776M->776M(6144M) 372.894ms
[12.487s][info][gc,metaspace] GC(6) Metaspace: 28555K(29760K)->28555K(29760K) NonClass: 25042K(25600K)->25042K(25600K) Class: 3513K(4160K)->3513K(4160K)
[12.487s][info][gc          ] GC(6) Pause Full (System.gc()) 776M->776M(6144M) 428.954ms
