[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.010s][info][gc       ] Using G1
[0.437s][info][metaspace] Reserving compressed class space anywhere
[0.437s][info][gc,metaspace] CDS archive(s) not mapped
[0.437s][info][gc,metaspace] Compressed class space mapped at: 0x00007ffedb000000-0x00007fff9b000000, reserved size: 3221225472
[0.437s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 0narrow klass pointer bits 26, max shift 6
[0.437s][info][gc,metaspace] Narrow klass base: 0x00007ffedb000000, Narrow klass shift: 6, Narrow klass range: 0xc0000000
Num Classes: 512
Num Objects per Class: 131072
Cycles: 100
Class association: random
Generate 512 classes...[1.408s][info][gc,metaspace] GC(0) Metaspace: 22092K(22464K)->22092K(22464K) NonClass: 19687K(19904K)->19687K(19904K) Class: 2405K(2560K)->2405K(2560K)
[1.408s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 304M->3M(6144M) 8.221ms
[1.815s][info][gc,metaspace] GC(1) Metaspace: 22391K(22784K)->22391K(22784K) NonClass: 19986K(20224K)->19986K(20224K) Class: 2405K(2560K)->2405K(2560K)
[1.816s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 319M->4M(6144M) 3.794ms

Loading 512...[3.073s][info][gc,metaspace] GC(2) Metaspace: 24206K(24576K)->24206K(24576K) NonClass: 21506K(21696K)->21506K(21696K) Class: 2700K(2880K)->2700K(2880K)
[3.073s][info][gc          ] GC(2) Pause Full (System.gc()) 1334M->3M(6144M) 20.198ms
Creating 131072 objects per class...
Done; will start GCs... 
[7.983s][info][gc,metaspace] GC(3) Metaspace: 26106K(26944K)->26106K(26944K) NonClass: 23146K(23552K)->23146K(23552K) Class: 2960K(3392K)->2960K(3392K)
[7.983s][info][gc          ] GC(3) Pause Full (System.gc()) 787M->775M(6144M) 423.047ms
[8.295s][info][gc,metaspace] GC(4) Metaspace: 26106K(26944K)->26106K(26944K) NonClass: 23146K(23552K)->23146K(23552K) Class: 2960K(3392K)->2960K(3392K)
[8.295s][info][gc          ] GC(4) Pause Full (System.gc()) 775M->775M(6144M) 311.894ms
[8.619s][info][gc,metaspace] GC(5) Metaspace: 26106K(26944K)->26106K(26944K) NonClass: 23146K(23552K)->23146K(23552K) Class: 2960K(3392K)->2960K(3392K)
[8.619s][info][gc          ] GC(5) Pause Full (System.gc()) 775M->775M(6144M) 323.387ms
[8.966s][info][gc,metaspace] GC(6) Metaspace: 26106K(26944K)->26106K(26944K) NonClass: 23146K(23552K)->23146K(23552K) Class: 2960K(3392K)->2960K(3392K)
[8.966s][info][gc          ] GC(6) Pause Full (System.gc()) 775M->775M(6144M) 347.498ms
[9.302s][info][gc,metaspace] GC(7) Metaspace: 26106K(26944K)->26106K(26944K) NonClass: 23146K(23552K)->23146K(23552K) Class: 2960K(3392K)->2960K(3392K)
[9.302s][info][gc          ] GC(7) Pause Full (System.gc()) 775M->775M(6144M) 335.869ms
[9.632s][info][gc,metaspace] GC(8) Metaspace: 26106K(26944K)->26106K(26944K) NonClass: 23146K(23552K)->23146K(23552K) Class: 2960K(3392K)->2960K(3392K)
[9.632s][info][gc          ] GC(8) Pause Full (System.gc()) 775M->775M(6144M) 329.864ms
[9.968s][info][gc,metaspace] GC(9) Metaspace: 26107K(26944K)->26107K(26944K) NonClass: 23147K(23552K)->23147K(23552K) Class: 2960K(3392K)->2960K(3392K)
[9.968s][info][gc          ] GC(9) Pause Full (System.gc()) 775M->775M(6144M) 335.514ms
[10.309s][info][gc,metaspace] GC(10) Metaspace: 26107K(26944K)->26107K(26944K) NonClass: 23147K(23552K)->23147K(23552K) Class: 2960K(3392K)->2960K(3392K)
[10.309s][info][gc          ] GC(10) Pause Full (System.gc()) 775M->775M(6144M) 341.470ms
[10.635s][info][gc,metaspace] GC(11) Metaspace: 26107K(26944K)->26107K(26944K) NonClass: 23147K(23552K)->23147K(23552K) Class: 2960K(3392K)->2960K(3392K)
[10.635s][info][gc          ] GC(11) Pause Full (System.gc()) 775M->775M(6144M) 326.013ms
[10.957s][info][gc,metaspace] GC(12) Metaspace: 26107K(26944K)->26107K(26944K) NonClass: 23147K(23552K)->23147K(23552K) Class: 2960K(3392K)->2960K(3392K)
[10.957s][info][gc          ] GC(12) Pause Full (System.gc()) 775M->775M(6144M) 322.039ms
[11.314s][info][gc,metaspace] GC(13) Metaspace: 26107K(26944K)->26107K(26944K) NonClass: 23147K(23552K)->23147K(23552K) Class: 2960K(3392K)->2960K(3392K)
