[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using Parallel
[0.381s][info][metaspace] Reserving compressed class space anywhere
[0.381s][info][gc,metaspace] CDS archive(s) not mapped
[0.381s][info][gc,metaspace] Compressed class space mapped at: 0x00007ffee7000000-0x00007fffa7000000, reserved size: 3221225472
[0.381s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 1narrow klass pointer bits 22, max shift 6
[0.381s][info][gc,metaspace] Narrow klass base: 0x00007ffee7000000, Narrow klass shift: 6, Narrow klass range: 0xc0000000
Num Classes: 4096
Num Objects per Class: 16384
Cycles: 100
Class association: random
Generate 4096 classes...[2.439s][info][gc,metaspace] GC(0) Metaspace: 26165K(27328K)->26165K(27328K) NonClass: 20577K(20800K)->20577K(20800K) Class: 5588K(6528K)->5588K(6528K)
[2.439s][info][gc          ] GC(0) Pause Young (Allocation Failure) 1536M->4M(5888M) 5.909ms
[3.678s][info][gc,metaspace] GC(1) Metaspace: 27022K(28288K)->27022K(28288K) NonClass: 21432K(21696K)->21432K(21696K) Class: 5589K(6592K)->5589K(6592K)
[3.678s][info][gc          ] GC(1) Pause Young (Allocation Failure) 1540M->4M(5888M) 6.373ms
[4.822s][info][gc,metaspace] GC(2) Metaspace: 27069K(28288K)->27069K(28288K) NonClass: 21480K(21696K)->21480K(21696K) Class: 5589K(6592K)->5589K(6592K)
[4.822s][info][gc          ] GC(2) Pause Young (Allocation Failure) 1540M->5M(5888M) 4.630ms
[6.006s][info][gc,metaspace] GC(3) Metaspace: 27128K(28352K)->27128K(28352K) NonClass: 21538K(21760K)->21538K(21760K) Class: 5589K(6592K)->5589K(6592K)
[6.006s][info][gc          ] GC(3) Pause Young (Allocation Failure) 1541M->5M(5888M) 4.897ms
[7.107s][info][gc,metaspace] GC(4) Metaspace: 27204K(28416K)->27204K(28416K) NonClass: 21614K(21824K)->21614K(21824K) Class: 5590K(6592K)->5590K(6592K)
[7.107s][info][gc          ] GC(4) Pause Young (Allocation Failure) 1541M->5M(5888M) 5.260ms
[8.182s][info][gc,metaspace] GC(5) Metaspace: 27296K(28544K)->27296K(28544K) NonClass: 21705K(21952K)->21705K(21952K) Class: 5590K(6592K)->5590K(6592K)
[8.182s][info][gc          ] GC(5) Pause Young (Allocation Failure) 1541M->5M(6137M) 5.667ms
[9.557s][info][gc,metaspace] GC(6) Metaspace: 27296K(28544K)->27296K(28544K) NonClass: 21705K(21952K)->21705K(21952K) Class: 5590K(6592K)->5590K(6592K)
[9.557s][info][gc          ] GC(6) Pause Young (Allocation Failure) 2039M->6M(6133M) 5.058ms
[10.918s][info][gc,metaspace] GC(7) Metaspace: 27296K(28544K)->27296K(28544K) NonClass: 21705K(21952K)->21705K(21952K) Class: 5590K(6592K)->5590K(6592K)
[10.918s][info][gc          ] GC(7) Pause Young (Allocation Failure) 2040M->7M(6136M) 1.512ms

Loading 4096...[12.277s][info][gc,metaspace] GC(8) Metaspace: 33257K(34432K)->33257K(34432K) NonClass: 23766K(24000K)->23766K(24000K) Class: 9490K(10432K)->9490K(10432K)
[12.277s][info][gc          ] GC(8) Pause Young (System.gc()) 1909M->7M(6136M) 1.513ms
[12.301s][info][gc,metaspace] GC(9) Metaspace: 33257K(34432K)->33257K(34432K) NonClass: 23766K(24000K)->23766K(24000K) Class: 9490K(10432K)->9490K(10432K)
[12.301s][info][gc          ] GC(9) Pause Full (System.gc()) 7M->7M(6136M) 24.259ms
Creating 16384 objects per class...
Done; will start GCs... 
[30.637s][info][gc,metaspace] GC(10) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36369K(38016K)->36369K(38016K) Class: 54546K(75968K)->54546K(75968K)
[30.637s][info][gc          ] GC(10) Pause Young (System.gc()) 889M->778M(5569M) 1550.312ms
[32.811s][info][gc,metaspace] GC(11) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36369K(38016K)->36369K(38016K) Class: 54546K(75968K)->54546K(75968K)
[32.811s][info][gc          ] GC(11) Pause Full (System.gc()) 778M->778M(5569M) 2173.938ms
[32.812s][info][gc,metaspace] GC(12) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36369K(38016K)->36369K(38016K) Class: 54546K(75968K)->54546K(75968K)
[32.812s][info][gc          ] GC(12) Pause Young (System.gc()) 778M->778M(5853M) 0.940ms
[33.731s][info][gc,metaspace] GC(13) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36369K(38016K)->36369K(38016K) Class: 54546K(75968K)->54546K(75968K)
[33.731s][info][gc          ] GC(13) Pause Full (System.gc()) 778M->778M(5853M) 918.546ms
[33.732s][info][gc,metaspace] GC(14) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36369K(38016K)->36369K(38016K) Class: 54546K(75968K)->54546K(75968K)
[33.732s][info][gc          ] GC(14) Pause Young (System.gc()) 778M->778M(5868M) 0.951ms
[34.664s][info][gc,metaspace] GC(15) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36369K(38016K)->36369K(38016K) Class: 54546K(75968K)->54546K(75968K)
[34.664s][info][gc          ] GC(15) Pause Full (System.gc()) 778M->778M(5868M) 931.974ms
[34.669s][info][gc,metaspace] GC(16) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36369K(38016K)->36369K(38016K) Class: 54546K(75968K)->54546K(75968K)
[34.669s][info][gc          ] GC(16) Pause Young (System.gc()) 778M->778M(5860M) 0.824ms
[35.594s][info][gc,metaspace] GC(17) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36369K(38016K)->36369K(38016K) Class: 54546K(75968K)->54546K(75968K)
[35.594s][info][gc          ] GC(17) Pause Full (System.gc()) 778M->778M(5860M) 925.043ms
[35.595s][info][gc,metaspace] GC(18) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36369K(38016K)->36369K(38016K) Class: 54546K(75968K)->54546K(75968K)
[35.595s][info][gc          ] GC(18) Pause Young (System.gc()) 778M->778M(5889M) 0.958ms
[36.557s][info][gc,metaspace] GC(19) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36369K(38016K)->36369K(38016K) Class: 54546K(75968K)->54546K(75968K)
[36.557s][info][gc          ] GC(19) Pause Full (System.gc()) 778M->778M(5889M) 962.158ms
[36.558s][info][gc,metaspace] GC(20) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36369K(38016K)->36369K(38016K) Class: 54546K(75968K)->54546K(75968K)
[36.558s][info][gc          ] GC(20) Pause Young (System.gc()) 778M->778M(5878M) 0.829ms
[37.515s][info][gc,metaspace] GC(21) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36369K(38016K)->36369K(38016K) Class: 54546K(75968K)->54546K(75968K)
[37.515s][info][gc          ] GC(21) Pause Full (System.gc()) 778M->778M(5878M) 957.103ms
[37.516s][info][gc,metaspace] GC(22) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36369K(38016K)->36369K(38016K) Class: 54546K(75968K)->54546K(75968K)
[37.516s][info][gc          ] GC(22) Pause Young (System.gc()) 778M->778M(5911M) 0.792ms
[38.465s][info][gc,metaspace] GC(23) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36369K(38016K)->36369K(38016K) Class: 54546K(75968K)->54546K(75968K)
[38.465s][info][gc          ] GC(23) Pause Full (System.gc()) 778M->778M(5911M) 948.175ms
[38.466s][info][gc,metaspace] GC(24) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36369K(38016K)->36369K(38016K) Class: 54546K(75968K)->54546K(75968K)
[38.466s][info][gc          ] GC(24) Pause Young (System.gc()) 778M->778M(5900M) 0.970ms
[39.413s][info][gc,metaspace] GC(25) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36369K(38016K)->36369K(38016K) Class: 54546K(75968K)->54546K(75968K)
[39.413s][info][gc          ] GC(25) Pause Full (System.gc()) 778M->778M(5900M) 947.178ms
[39.414s][info][gc,metaspace] GC(26) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36370K(38016K)->36370K(38016K) Class: 54546K(75968K)->54546K(75968K)
[39.414s][info][gc          ] GC(26) Pause Young (System.gc()) 778M->778M(5934M) 0.602ms
[40.339s][info][gc,metaspace] GC(27) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36370K(38016K)->36370K(38016K) Class: 54546K(75968K)->54546K(75968K)
[40.339s][info][gc          ] GC(27) Pause Full (System.gc()) 778M->778M(5934M) 924.927ms
[40.344s][info][gc,metaspace] GC(28) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36370K(38016K)->36370K(38016K) Class: 54546K(75968K)->54546K(75968K)
[40.344s][info][gc          ] GC(28) Pause Young (System.gc()) 778M->778M(5923M) 0.795ms
[41.262s][info][gc,metaspace] GC(29) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36370K(38016K)->36370K(38016K) Class: 54546K(75968K)->54546K(75968K)
[41.262s][info][gc          ] GC(29) Pause Full (System.gc()) 778M->778M(5923M) 918.173ms
[41.263s][info][gc,metaspace] GC(30) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36370K(38016K)->36370K(38016K) Class: 54546K(75968K)->54546K(75968K)
[41.263s][info][gc          ] GC(30) Pause Young (System.gc()) 778M->778M(5957M) 0.991ms
[42.222s][info][gc,metaspace] GC(31) Metaspace: 90916K(113984K)->90916K(113984K) NonClass: 36370K(38016K)->36370K(38016K) Class: 54546K(75968K)->54546K(75968K)
