[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using Parallel
[0.376s][info][metaspace] Reserving compressed class space anywhere
[0.376s][info][gc,metaspace] CDS archive(s) not mapped
[0.376s][info][gc,metaspace] Compressed class space mapped at: 0x00007ffee7000000-0x00007fffa7000000, reserved size: 3221225472
[0.376s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 0narrow klass pointer bits 22, max shift 10
[0.376s][info][gc,metaspace] Narrow klass base: 0x00007ffee7000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 2048
Num Objects per Class: 32768
Cycles: 100
Class association: random
Generate 2048 classes...[2.384s][info][gc,metaspace] GC(0) Metaspace: 22871K(23232K)->22871K(23232K) NonClass: 19056K(19264K)->19056K(19264K) Class: 3815K(3968K)->3815K(3968K)
[2.384s][info][gc          ] GC(0) Pause Young (Allocation Failure) 1536M->4M(5888M) 5.220ms
[3.586s][info][gc,metaspace] GC(1) Metaspace: 23722K(24128K)->23722K(24128K) NonClass: 19905K(20096K)->19905K(20096K) Class: 3817K(4032K)->3817K(4032K)
[3.586s][info][gc          ] GC(1) Pause Young (Allocation Failure) 1540M->4M(5888M) 5.117ms
[4.734s][info][gc,metaspace] GC(2) Metaspace: 23771K(24192K)->23771K(24192K) NonClass: 19954K(20160K)->19954K(20160K) Class: 3817K(4032K)->3817K(4032K)
[4.734s][info][gc          ] GC(2) Pause Young (Allocation Failure) 1540M->4M(5888M) 4.916ms
[5.918s][info][gc,metaspace] GC(3) Metaspace: 23837K(24256K)->23837K(24256K) NonClass: 20020K(20224K)->20020K(20224K) Class: 3817K(4032K)->3817K(4032K)
[5.918s][info][gc          ] GC(3) Pause Young (Allocation Failure) 1540M->5M(5888M) 4.174ms

Loading 2048...[7.038s][info][gc,metaspace] GC(4) Metaspace: 27020K(27392K)->27020K(27392K) NonClass: 21154K(21312K)->21154K(21312K) Class: 5865K(6080K)->5865K(6080K)
[7.038s][info][gc          ] GC(4) Pause Young (System.gc()) 1510M->5M(5888M) 4.874ms
[7.056s][info][gc,metaspace] GC(5) Metaspace: 27020K(27392K)->27020K(27392K) NonClass: 21154K(21312K)->21154K(21312K) Class: 5865K(6080K)->5865K(6080K)
[7.056s][info][gc          ] GC(5) Pause Full (System.gc()) 5M->5M(5888M) 18.590ms
Creating 32768 objects per class...
Done; will start GCs... 
[17.770s][info][gc,metaspace] GC(6) Metaspace: 33656K(35776K)->33656K(35776K) NonClass: 26751K(27648K)->26751K(27648K) Class: 6905K(8128K)->6905K(8128K)
[17.770s][info][gc          ] GC(6) Pause Young (System.gc()) 814M->774M(5888M) 2222.358ms
[20.320s][info][gc,metaspace] GC(7) Metaspace: 33656K(35776K)->33656K(35776K) NonClass: 26751K(27648K)->26751K(27648K) Class: 6905K(8128K)->6905K(8128K)
[20.320s][info][gc          ] GC(7) Pause Full (System.gc()) 774M->774M(5888M) 2550.122ms
[20.321s][info][gc,metaspace] GC(8) Metaspace: 33656K(35776K)->33656K(35776K) NonClass: 26751K(27648K)->26751K(27648K) Class: 6905K(8128K)->6905K(8128K)
[20.321s][info][gc          ] GC(8) Pause Young (System.gc()) 774M->774M(5888M) 0.663ms
[21.252s][info][gc,metaspace] GC(9) Metaspace: 33656K(35776K)->33656K(35776K) NonClass: 26751K(27648K)->26751K(27648K) Class: 6905K(8128K)->6905K(8128K)
[21.252s][info][gc          ] GC(9) Pause Full (System.gc()) 774M->774M(5888M) 930.854ms
