[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.004s][info][gc       ] Using Parallel
[0.375s][info][metaspace] Reserving compressed class space anywhere
[0.375s][info][gc,metaspace] CDS archive(s) not mapped
[0.375s][info][gc,metaspace] Compressed class space mapped at: 0x00007ffee7000000-0x00007fffa7000000, reserved size: 3221225472
[0.375s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 1narrow klass pointer bits 22, max shift 6
[0.375s][info][gc,metaspace] Narrow klass base: 0x00007ffee7000000, Narrow klass shift: 6, Narrow klass range: 0xc0000000
Num Classes: 2048
Num Objects per Class: 32768
Cycles: 100
Class association: random
Generate 2048 classes...[2.339s][info][gc,metaspace] GC(0) Metaspace: 26166K(27328K)->26166K(27328K) NonClass: 20578K(20800K)->20578K(20800K) Class: 5588K(6528K)->5588K(6528K)
[2.339s][info][gc          ] GC(0) Pause Young (Allocation Failure) 1536M->4M(5888M) 5.243ms
[3.548s][info][gc,metaspace] GC(1) Metaspace: 27040K(28288K)->27040K(28288K) NonClass: 21451K(21696K)->21451K(21696K) Class: 5589K(6592K)->5589K(6592K)
[3.548s][info][gc          ] GC(1) Pause Young (Allocation Failure) 1540M->4M(5888M) 4.910ms
[4.742s][info][gc,metaspace] GC(2) Metaspace: 27092K(28352K)->27092K(28352K) NonClass: 21503K(21760K)->21503K(21760K) Class: 5589K(6592K)->5589K(6592K)
[4.742s][info][gc          ] GC(2) Pause Young (Allocation Failure) 1540M->5M(5888M) 4.760ms
[5.881s][info][gc,metaspace] GC(3) Metaspace: 27147K(28352K)->27147K(28352K) NonClass: 21557K(21760K)->21557K(21760K) Class: 5589K(6592K)->5589K(6592K)
[5.881s][info][gc          ] GC(3) Pause Young (Allocation Failure) 1541M->5M(5888M) 4.794ms
[6.982s][info][gc,metaspace] GC(4) Metaspace: 27205K(28416K)->27205K(28416K) NonClass: 21615K(21824K)->21615K(21824K) Class: 5589K(6592K)->5589K(6592K)
[6.982s][info][gc          ] GC(4) Pause Young (Allocation Failure) 1541M->6M(5888M) 4.786ms

Loading 2048...[7.078s][info][gc,metaspace] GC(5) Metaspace: 30235K(31360K)->30235K(31360K) NonClass: 22675K(22848K)->22675K(22848K) Class: 7559K(8512K)->7559K(8512K)
[7.078s][info][gc          ] GC(5) Pause Young (System.gc()) 99M->5M(6137M) 7.300ms
[7.096s][info][gc,metaspace] GC(6) Metaspace: 30235K(31360K)->30235K(31360K) NonClass: 22675K(22848K)->22675K(22848K) Class: 7559K(8512K)->7559K(8512K)
[7.097s][info][gc          ] GC(6) Pause Full (System.gc()) 5M->5M(6137M) 18.630ms
Creating 32768 objects per class...
Done; will start GCs... 
[17.077s][info][gc,metaspace] GC(7) Metaspace: 59098K(71232K)->59098K(71232K) NonClass: 29010K(29952K)->29010K(29952K) Class: 30087K(41280K)->30087K(41280K)
[17.077s][info][gc          ] GC(7) Pause Young (System.gc()) 865M->775M(5600M) 1479.582ms
[19.248s][info][gc,metaspace] GC(8) Metaspace: 59098K(71232K)->59098K(71232K) NonClass: 29010K(29952K)->29010K(29952K) Class: 30087K(41280K)->30087K(41280K)
[19.248s][info][gc          ] GC(8) Pause Full (System.gc()) 775M->774M(5600M) 2171.557ms
[19.250s][info][gc,metaspace] GC(9) Metaspace: 59098K(71232K)->59098K(71232K) NonClass: 29010K(29952K)->29010K(29952K) Class: 30087K(41280K)->30087K(41280K)
[19.250s][info][gc          ] GC(9) Pause Young (System.gc()) 774M->774M(5394M) 0.958ms
[20.193s][info][gc,metaspace] GC(10) Metaspace: 59098K(71232K)->59098K(71232K) NonClass: 29010K(29952K)->29010K(29952K) Class: 30087K(41280K)->30087K(41280K)
[20.194s][info][gc          ] GC(10) Pause Full (System.gc()) 774M->774M(5394M) 943.864ms
[20.195s][info][gc,metaspace] GC(11) Metaspace: 59098K(71232K)->59098K(71232K) NonClass: 29010K(29952K)->29010K(29952K) Class: 30087K(41280K)->30087K(41280K)
[20.195s][info][gc          ] GC(11) Pause Young (System.gc()) 774M->774M(5765M) 1.174ms
[21.015s][info][gc,metaspace] GC(12) Metaspace: 59098K(71232K)->59098K(71232K) NonClass: 29010K(29952K)->29010K(29952K) Class: 30087K(41280K)->30087K(41280K)
[21.015s][info][gc          ] GC(12) Pause Full (System.gc()) 774M->774M(5765M) 820.288ms
[21.016s][info][gc,metaspace] GC(13) Metaspace: 59098K(71232K)->59098K(71232K) NonClass: 29010K(29952K)->29010K(29952K) Class: 30087K(41280K)->30087K(41280K)
[21.016s][info][gc          ] GC(13) Pause Young (System.gc()) 774M->774M(5791M) 0.815ms
[21.768s][info][gc,metaspace] GC(14) Metaspace: 59098K(71232K)->59098K(71232K) NonClass: 29010K(29952K)->29010K(29952K) Class: 30087K(41280K)->30087K(41280K)
[21.768s][info][gc          ] GC(14) Pause Full (System.gc()) 774M->774M(5791M) 752.066ms
[21.769s][info][gc,metaspace] GC(15) Metaspace: 59099K(71232K)->59099K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30087K(41280K)->30087K(41280K)
[21.769s][info][gc          ] GC(15) Pause Young (System.gc()) 774M->774M(5778M) 0.707ms
[22.518s][info][gc,metaspace] GC(16) Metaspace: 59099K(71232K)->59099K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30087K(41280K)->30087K(41280K)
[22.518s][info][gc          ] GC(16) Pause Full (System.gc()) 774M->774M(5778M) 749.019ms
[22.519s][info][gc,metaspace] GC(17) Metaspace: 59099K(71232K)->59099K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30087K(41280K)->30087K(41280K)
[22.519s][info][gc          ] GC(17) Pause Young (System.gc()) 774M->774M(5819M) 0.525ms
[23.347s][info][gc,metaspace] GC(18) Metaspace: 59099K(71232K)->59099K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30087K(41280K)->30087K(41280K)
[23.347s][info][gc          ] GC(18) Pause Full (System.gc()) 774M->774M(5819M) 827.753ms
[23.347s][info][gc,metaspace] GC(19) Metaspace: 59099K(71232K)->59099K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30087K(41280K)->30087K(41280K)
[23.347s][info][gc          ] GC(19) Pause Young (System.gc()) 774M->774M(5804M) 0.574ms
[24.049s][info][gc,metaspace] GC(20) Metaspace: 59099K(71232K)->59099K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30087K(41280K)->30087K(41280K)
[24.049s][info][gc          ] GC(20) Pause Full (System.gc()) 774M->774M(5804M) 701.300ms
[24.049s][info][gc,metaspace] GC(21) Metaspace: 59099K(71232K)->59099K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30087K(41280K)->30087K(41280K)
[24.050s][info][gc          ] GC(21) Pause Young (System.gc()) 774M->774M(5850M) 0.781ms
[24.984s][info][gc,metaspace] GC(22) Metaspace: 59099K(71232K)->59099K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30087K(41280K)->30087K(41280K)
[24.984s][info][gc          ] GC(22) Pause Full (System.gc()) 774M->774M(5850M) 934.423ms
[24.985s][info][gc,metaspace] GC(23) Metaspace: 59099K(71232K)->59099K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30087K(41280K)->30087K(41280K)
[24.985s][info][gc          ] GC(23) Pause Young (System.gc()) 774M->774M(5834M) 0.594ms
[25.736s][info][gc,metaspace] GC(24) Metaspace: 59099K(71232K)->59099K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30087K(41280K)->30087K(41280K)
[25.736s][info][gc          ] GC(24) Pause Full (System.gc()) 774M->774M(5834M) 751.136ms
