[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.006s][info][gc       ] Using Serial
[1.890s][info][metaspace] Reserving compressed class space anywhere
[1.890s][info][gc,metaspace] CDS archive(s) not mapped
[1.890s][info][gc,metaspace] Compressed class space mapped at: 0x00007fff18000000-0x00007fffd8000000, reserved size: 3221225472
[1.890s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 0narrow klass pointer bits 22, max shift 10
[1.890s][info][gc,metaspace] Narrow klass base: 0x00007fff18000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 1024
Num Objects per Class: 65536
Cycles: 100
Class association: random
Generate 1024 classes...[4.052s][info][gc,metaspace] GC(0) Metaspace: 22948K(23360K)->22948K(23360K) NonClass: 19130K(19392K)->19130K(19392K) Class: 3818K(3968K)->3818K(3968K)
[4.052s][info][gc          ] GC(0) Pause Young (Allocation Failure) 1638M->4M(5939M) 14.634ms
[5.356s][info][gc,metaspace] GC(1) Metaspace: 23742K(24192K)->23742K(24192K) NonClass: 19922K(20160K)->19922K(20160K) Class: 3820K(4032K)->3820K(4032K)
[5.356s][info][gc          ] GC(1) Pause Young (Allocation Failure) 1643M->4M(5939M) 14.495ms

Loading 1024...[6.129s][info][gc,metaspace] GC(2) Metaspace: 25329K(25728K)->25329K(25728K) NonClass: 20485K(20672K)->20485K(20672K) Class: 4843K(5056K)->4843K(5056K)
[6.129s][info][gc          ] GC(2) Pause Full (System.gc()) 737M->4M(5939M) 204.306ms
Creating 65536 objects per class...
Done; will start GCs... 
[16.487s][info][gc,metaspace] GC(3) Metaspace: 28687K(29952K)->28687K(29952K) NonClass: 23323K(23872K)->23323K(23872K) Class: 5363K(6080K)->5363K(6080K)
[16.487s][info][gc          ] GC(3) Pause Full (System.gc()) 820M->772M(5939M) 4482.069ms
[19.915s][info][gc,metaspace] GC(4) Metaspace: 28687K(29952K)->28687K(29952K) NonClass: 23323K(23872K)->23323K(23872K) Class: 5363K(6080K)->5363K(6080K)
[19.915s][info][gc          ] GC(4) Pause Full (System.gc()) 772M->772M(5939M) 3426.852ms
[23.908s][info][gc,metaspace] GC(5) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[23.908s][info][gc          ] GC(5) Pause Full (System.gc()) 772M->772M(5939M) 3993.445ms
[26.859s][info][gc,metaspace] GC(6) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[26.859s][info][gc          ] GC(6) Pause Full (System.gc()) 772M->772M(5939M) 2950.161ms
[29.812s][info][gc,metaspace] GC(7) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[29.812s][info][gc          ] GC(7) Pause Full (System.gc()) 772M->772M(5939M) 2953.269ms
[32.763s][info][gc,metaspace] GC(8) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[32.763s][info][gc          ] GC(8) Pause Full (System.gc()) 772M->772M(5939M) 2950.241ms
[35.712s][info][gc,metaspace] GC(9) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[35.712s][info][gc          ] GC(9) Pause Full (System.gc()) 772M->772M(5939M) 2949.214ms
[38.613s][info][gc,metaspace] GC(10) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[38.613s][info][gc          ] GC(10) Pause Full (System.gc()) 772M->772M(5939M) 2900.337ms
[41.563s][info][gc,metaspace] GC(11) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[41.563s][info][gc          ] GC(11) Pause Full (System.gc()) 772M->772M(5939M) 2950.300ms
[44.515s][info][gc,metaspace] GC(12) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[44.515s][info][gc          ] GC(12) Pause Full (System.gc()) 772M->772M(5939M) 2951.630ms
[47.471s][info][gc,metaspace] GC(13) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[47.471s][info][gc          ] GC(13) Pause Full (System.gc()) 772M->772M(5939M) 2955.554ms
[50.421s][info][gc,metaspace] GC(14) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[50.421s][info][gc          ] GC(14) Pause Full (System.gc()) 772M->772M(5939M) 2950.491ms
[53.372s][info][gc,metaspace] GC(15) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[53.372s][info][gc          ] GC(15) Pause Full (System.gc()) 772M->772M(5939M) 2950.123ms
[56.322s][info][gc,metaspace] GC(16) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[56.322s][info][gc          ] GC(16) Pause Full (System.gc()) 772M->772M(5939M) 2950.054ms
[59.272s][info][gc,metaspace] GC(17) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[59.272s][info][gc          ] GC(17) Pause Full (System.gc()) 772M->772M(5939M) 2949.843ms
[62.223s][info][gc,metaspace] GC(18) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[62.223s][info][gc          ] GC(18) Pause Full (System.gc()) 772M->772M(5939M) 2950.531ms
[65.177s][info][gc,metaspace] GC(19) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[65.177s][info][gc          ] GC(19) Pause Full (System.gc()) 772M->772M(5939M) 2954.108ms
[68.127s][info][gc,metaspace] GC(20) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[68.127s][info][gc          ] GC(20) Pause Full (System.gc()) 772M->772M(5939M) 2950.233ms
[72.118s][info][gc,metaspace] GC(21) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[72.118s][info][gc          ] GC(21) Pause Full (System.gc()) 783M->772M(5939M) 3990.399ms
[75.071s][info][gc,metaspace] GC(22) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[75.071s][info][gc          ] GC(22) Pause Full (System.gc()) 772M->772M(5939M) 2952.675ms
[78.021s][info][gc,metaspace] GC(23) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[78.022s][info][gc          ] GC(23) Pause Full (System.gc()) 772M->772M(5939M) 2950.757ms
[80.977s][info][gc,metaspace] GC(24) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[80.977s][info][gc          ] GC(24) Pause Full (System.gc()) 772M->772M(5939M) 2955.463ms
[83.928s][info][gc,metaspace] GC(25) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[83.928s][info][gc          ] GC(25) Pause Full (System.gc()) 772M->772M(5939M) 2950.924ms
[86.880s][info][gc,metaspace] GC(26) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[86.880s][info][gc          ] GC(26) Pause Full (System.gc()) 772M->772M(5939M) 2951.473ms
[89.830s][info][gc,metaspace] GC(27) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[89.830s][info][gc          ] GC(27) Pause Full (System.gc()) 772M->772M(5939M) 2950.539ms
[92.782s][info][gc,metaspace] GC(28) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[92.782s][info][gc          ] GC(28) Pause Full (System.gc()) 772M->772M(5939M) 2951.147ms
[95.733s][info][gc,metaspace] GC(29) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[95.733s][info][gc          ] GC(29) Pause Full (System.gc()) 772M->772M(5939M) 2951.003ms
[98.688s][info][gc,metaspace] GC(30) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[98.688s][info][gc          ] GC(30) Pause Full (System.gc()) 772M->772M(5939M) 2954.959ms
[101.589s][info][gc,metaspace] GC(31) Metaspace: 28688K(29952K)->28688K(29952K) NonClass: 23324K(23872K)->23324K(23872K) Class: 5363K(6080K)->5363K(6080K)
[101.590s][info][gc          ] GC(31) Pause Full (System.gc()) 772M->772M(5939M) 2901.527ms
